TokenPattern	PatternLength
class-block-class-block-decl_stmt-decl-init-expr-call-argument_list-argument-expr-call-argument_list	100
if_stmt-if-block-block_content-try-block-block_content-try-block-block_content-package-name-operator	100
finally-block-block_content-finally-block-block_content-expr_stmt-expr-block-expr-call-name-operator	100
while-expr_stmt-expr-block-if_stmt-if-block-block_content-synchronized-block-block_content-expr_stmt	100
for-decl_stmt-decl-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-block-expr-name	100
expr_stmt-expr-block-if_stmt-if-block-block_content-try-block-block_content-decl_stmt-decl-type-name	100
class-block-decl_stmt-decl-type-name-argument_list-argument-name-argument_list-argument-extends-name	100
expr_stmt-expr-block-expr-block-for-control-init-expr-lambda-block-block_content-expr-call-name-name	100
function-block-block_content-class-block-enum-block-function-parameter_list-parameter-decl-type-name	100
function-block-block_content-class-block-enum-block-function-block-block_content-return-expr-literal	100
function-block-block_content-enum-block-class-block-function-block-block_content-throw-expr-operator	100
function-block-block_content-enum-block-class-block-function-block-block_content-return-expr-literal	100
function-block-block_content-enum-block-class-block-class-block-class-block-decl_stmt-decl-type-name	100
function-block-block_content-enum-block-class-block-class-block-class-block-function-annotation-name	100
function-block-block_content-enum-block-class-block-function-block-block_content-class-block-comment	100
class-block-function-block-block_content-function-block-block_content-return-expr-call-name-operator	100
class-block-function-block-block_content-function-block-block_content-return-expr-call-argument_list	100
class-block-class-block-expr_stmt-expr-block-expr-block-if_stmt-if-condition-expr-call-name-operator	100
class-block-class-block-expr_stmt-expr-block-expr-block-if_stmt-if-condition-expr-call-argument_list	100
decl_stmt-decl-init-expr-class-block-function-block-block_content-expr_stmt-expr-block-expr-operator	100
decl_stmt-decl-init-expr-class-block-function-block-block_content-decl_stmt-decl-init-expr-call-name	100
class-block-class-block-catch-block-block_content-if_stmt-if-block-block_content-throw-expr-operator	100
expr_stmt-expr-block-catch-block-block_content-throw-expr-call-argument_list-argument-expr-name-name	100
function-block-block_content-expr_stmt-expr-block-if_stmt-if-block-block_content-throw-expr-operator	100
catch-block-block_content-if_stmt-if-block-block_content-for-block-block_content-expr_stmt-expr-name	100
if_stmt-if-block-block_content-class-block-function-block-block_content-expr_stmt-expr-name-operator	100
class-block-catch-block-block_content-if_stmt-else-block-block_content-expr_stmt-expr-call-name-name	100
if_stmt-else-block-block_content-expr_stmt-expr-block-expr-call-argument_list-argument-expr-operator	100
while-block-block_content-if_stmt-if-block-block_content-decl_stmt-decl-init-expr-call-name-operator	100
expr_stmt-expr-block-expr-block-expr-block-expr-call-argument_list-argument-expr-call-name-name-name	100
class-block-expr_stmt-expr-block-for-block-block_content-decl_stmt-decl-init-expr-call-name-operator	100
class-block-expr_stmt-expr-block-for-block-block_content-for-block-block_content-expr_stmt-expr-name	100
class-block-expr_stmt-expr-block-expr-block-expr-block-expr-block-if_stmt-if-condition-expr-operator	100
for-block-block_content-class-block-class-block-decl_stmt-decl-type-name-argument_list-argument-name	100
function-block-block_content-switch-block-block_content-if_stmt-if-condition-expr-call-name-operator	100
function-block-block_content-switch-block-block_content-if_stmt-if-condition-expr-call-argument_list	100
class-block-expr_stmt-expr-block-expr-block-switch-block-block_content-expr_stmt-expr-call-name-name	100
class-block-class-block-class-block-class-block-decl_stmt-decl-type-name-argument_list-argument-name	100
class-block-class-block-class-block-function-block-block_content-while-condition-expr-call-name-name	100
class-block-class-block-class-block-function-block-block_content-for-control-condition-expr-operator	100
class-block-if_stmt-if-block-block_content-function-block-block_content-expr_stmt-expr-block-comment	100
class-block-class-block-function-block-block_content-class-block-class-super_list-extends-super-name	100
block-block_content-if_stmt-else-block-block_content-expr_stmt-expr-name-argument_list-argument-name	100
expr_stmt-expr-block-for-block-block_content-expr_stmt-expr-block-expr-block-expr-call-argument_list	100
expr_stmt-expr-block-for-block-block_content-expr_stmt-expr-block-expr-block-for-expr_stmt-expr-name	100
for-expr_stmt-expr-block-expr-call-argument_list-argument-expr-call-argument_list-argument-expr-name	100
function-block-block_content-for-block-block_content-try-block-block_content-expr_stmt-expr-operator	100
function-block-block_content-for-block-block_content-for-control-init-decl-range-expr-call-name-name	100
expr_stmt-expr-block-expr-block-for-block-block_content-expr_stmt-expr-block-expr-call-name-operator	100
expr_stmt-expr-call-argument_list-if_stmt-if-block-block_content-if_stmt-if-condition-expr-name-name	100
if_stmt-if-block-block_content-expr_stmt-expr-block-block-expr-call-argument_list-argument-expr-name	100
for-expr_stmt-expr-block-for-block-block_content-expr_stmt-expr-block-expr-block-expr-call-name-name	100
for-expr_stmt-expr-block-for-block-block_content-finally-block-block_content-expr_stmt-expr-operator	100
for-block-block_content-if_stmt-if-block-block_content-decl_stmt-decl-init-expr-name-index-expr-name	100
function-block-block_content-try-block-block_content-try-block-block_content-expr_stmt-expr-operator	100
function-block-block_content-try-block-block_content-if_stmt-if-throws-argument-expr-block-expr-name	100
function-block-block_content-try-block-block_content-function-block-block_content-expr_stmt-operator	100
function-block-throw-argument_list-argument-expr-call-argument_list-argument-expr-call-argument_list	100
class-block-function-block-block_content-for-control-for-control-init-decl-range-expr-call-name-name	100
function-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-name-index-expr-name-name	100
class-block-class-block-function-block-block_content-decl_stmt-decl-init-expr-ternary-then-expr-name	100
decl_stmt-decl-block-block_content-if_stmt-if-block-block_content-decl_stmt-decl-init-expr-call-name	100
expr_stmt-expr-block-catch-block-block_content-expr_stmt-expr-block-return-expr-block-expr-call-name	100
if_stmt-if-block-block_content-if_stmt-if-block-block_content-decl_stmt-decl-init-expr-name-operator	100
expr_stmt-expr-block-synchronized-block-block_content-for-control-init-decl-init-expr-call-name-name	100
class-block-class-block-function-block-block_content-if_stmt-if-block-block_content-return-expr-name	100
if_stmt-if-block-block_content-decl_stmt-decl-block-block_content-expr_stmt-expr-block-expr-operator	100
expr_stmt-expr-block-expr-class-block-function-block-block_content-expr_stmt-expr-call-argument_list	100
block-block_content-if_stmt-else-block-block_content-for-block-block_content-expr_stmt-expr-operator	100
expr_stmt-expr-block-for-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-call-name	100
block-block_content-if_stmt-if-block-block_content-while-block-block_content-expr_stmt-expr-operator	100
try-block-block_content-for-block-block_content-if_stmt-if-block-block_content-return-expr-name-name	100
try-block-block_content-for-block-block_content-if_stmt-if-block-block_content-return-expr-call-name	100
expr_stmt-expr-block-expr-block-expr-block-try-block-block_content-expr_stmt-expr-call-name-operator	100
expr_stmt-expr-block-if_stmt-if-block-block_content-decl_stmt-decl-init-expr-name-index-expr-literal	100
try-block-block_content-if_stmt-if-block-block_content-while-block-block_content-expr_stmt-expr-name	100
expr_stmt-expr-block-for-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-name-name	100
expr_stmt-expr-block-for-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-specifier	100
